Rigveda Telugu translation | Hinduism
Quran English Sahih International | Islam
Sahih Bukhari Arabic English vol 1 | Islam
Quran Turkish translation | Islam
Maariful Quran Urdu English | Islam
Rumi Masnavi Hindi Urdu | Islam
Bible Telugu translation | Christianity
Bible New International Version | Christianity
Bible Douay Rheims Catholic | Christianity
Bible Urdu translation | Christianity
Bible King James Version | Christianity
Bible German Luther | Christianity
Ibn Khaldun Muqaddimah English | Islam
Bible Bengali translation | Christianity
Bible Kannada translation | Christianity
Bible Gujarati translation | Christianity
Bible Marathi translation | Christianity
Bible Malayalam translation | Christianity
Bible Spanish Reina Valera | Christianity
Bible Hindi translation | Christianity
Bible French Louis Segond | Christianity
Bible Tamil translation | Christianity
Rumi Masnavi Persian original | Islam
Bible Russian Synodal | Christianity
Bible Greek Septuagint | Christianity
Bible Arabic translation | Christianity
Bible Japanese translation | Christianity
Early Church Fathers English | Christianity
Bible Chinese Union Version | Christianity
Bible Latin Vulgate | Christianity
Apocrypha complete English | Christianity
Book of Enoch English | Christianity
Gospel of Thomas English | Christianity
City of God Augustine English | Christianity
Book of Jubilees English | Christianity
Summa Theologica Aquinas English vol 2 | Christianity
Philokalia vol 1 English | Christianity
Imitation of Christ Kempis English | Christianity
Dead Sea Scrolls English | Christianity
Summa Theologica Aquinas English vol 3 | Christianity
Philokalia vol 2 English | Christianity
Confessions Augustine English | Christianity
Summa Theologica Aquinas English vol 1 | Christianity
Nag Hammadi library English | Christianity
Dhammapada Pali English | Buddhism
Ihya Ulum al-Din Ghazali English vol 1 | Islam
Jami Tirmidhi English vol 2 | Islam
Dhammapada Tamil translation | Buddhism
Dhammapada Hindi translation | Buddhism
Sahih Muslim Urdu translation | Islam
Sahih Muslim English vol 1 | Islam
Digha Nikaya Pali English | Buddhism
Abhidhamma Pitaka English | Buddhism
Sahih Bukhari Arabic English vol 5 | Islam
Vinaya Pitaka Pali English | Buddhism
Diamond Sutra Sanskrit English | Buddhism
Sunan Ibn Majah English vol 1 | Islam
Tripitaka Hindi translation | Buddhism
Jami Tirmidhi English vol 3 | Islam
Heart Sutra Sanskrit English | Buddhism
Dhammapada Sinhala translation | Buddhism
Sunan Nasai English vol 1 | Islam
Blue Cliff Record English | Buddhism
Majjhima Nikaya Pali English | Buddhism
Guru Granth Sahib Punjabi Gurmukhi | Sikhism
Ihya Ulum al-Din Ghazali English vol 2 | Islam
Sahih Bukhari Arabic English vol 8 | Islam
Sahih Bukhari Arabic English vol 6 | Islam
Rumi Masnavi English vol 1 | Islam
Babylonian Talmud English Soncino vol 4 | Judaism
Sahih Bukhari Arabic English vol 4 | Islam
Sahih Bukhari Arabic English vol 3 | Islam
Sahih Bukhari Arabic English vol 7 | Islam
Ihya Ulum al-Din Ghazali Urdu | Islam
Samyutta Nikaya Pali English | Buddhism
Anguttara Nikaya Pali English | Buddhism
Khuddaka Nikaya English vol 1 | Buddhism
Lotus Sutra English | Buddhism
Lankavatara Sutra English | Buddhism
Muwatta Imam Malik English | Islam
Sahih Muslim English vol 2 | Islam
Bodhicharyavatara Shantideva English | Buddhism
Tibetan Book of Dead English Evans-Wentz | Buddhism
Milarepa hundred thousand songs English | Buddhism
Tibetan Book of Dead English Fremantle | Buddhism
Sahih Bukhari Urdu translation | Islam
Platform Sutra Huineng English | Buddhism
Jami Tirmidhi English vol 1 | Islam
Guru Granth Sahib English translation | Sikhism
Shobogenzo Dogen English vol 1 | Buddhism
Sahih Bukhari Hindi translation | Islam
Sunan Abu Dawud English vol 1 | Islam
Japji Sahib Punjabi Hindi English | Sikhism
Shobogenzo Dogen English vol 2 | Buddhism
Bhai Gurdas Vaaran Punjabi English | Sikhism
Sukhmani Sahib Punjabi Hindi English | Sikhism
Visuddhimagga Buddhaghosa English | Buddhism
Jataka tales Pali English | Buddhism
Torah Hebrew English complete | Judaism
Sahih Muslim English vol 3 | Islam
Babylonian Talmud English Soncino vol 2 | Judaism
Sunan Ibn Majah English vol 2 | Islam
Babylonian Talmud English Soncino vol 3 | Judaism
Sahih Muslim English vol 4 | Islam
Sirah Ibn Hisham English | Islam
Sunan Abu Dawud English vol 2 | Islam
Jerusalem Talmud English | Judaism
Sunan Nasai English vol 2 | Islam
Buddhism Hindi Ambedkar | Buddhism
Rumi Masnavi English vol 2 | Islam
Guru Nanak biography English | Sikhism
Babylonian Talmud Hebrew Aramaic | Judaism
Guru Granth Sahib Hindi translation | Sikhism
Uttaradhyayana Sutra English | Jainism
Babylonian Talmud English Soncino vol 5 | Judaism
Dasam Granth Punjabi English | Sikhism
Jain Agamas English complete | Jainism
Samayasara Kundakunda English | Jainism
Tao Te Ching Chinese original | Taoism_Confucianism
Tao Te Ching English Legge | Taoism_Confucianism
Sunan Abu Dawud Urdu translation | Islam
I Ching English Wilhelm | Taoism_Confucianism
Analects Confucius English Legge | Taoism_Confucianism
Babylonian Talmud English Soncino vol 1 | Judaism
Zhuangzi Chinese English | Taoism_Confucianism
Norito Shinto prayers English | Shinto
Nihon Shoki English translation | Shinto
Hidden Words Bahaullah English | Bahai
Kitab i Aqdas Bahaullah English | Bahai
Zohar English Sperling vol 1 | Judaism
Mishnah Hebrew English | Judaism
Zohar English Sperling vol 2 | Judaism
Zohar English Sperling vol 3 | Judaism
Midrash Rabbah English vol 1 | Judaism
Midrash Rabbah English vol 2 | Judaism
Dawn-Breakers Nabil English | Bahai
Maimonides Guide Perplexed English | Judaism
Prose Edda Snorri English | Norse_Germanic
Pirkei Avot Hebrew English | Judaism
Tanya Lubavitch English | Judaism
Avesta English Darmesteter | Zoroastrianism
Yasna Avesta English | Zoroastrianism
Vendidad Avesta English | Zoroastrianism
Gathas Zarathustra English | Zoroastrianism
Bundahishn English translation | Zoroastrianism
Pahlavi texts Sacred Books East | Zoroastrianism
Denkard Middle Persian English | Zoroastrianism
Tattvartha Sutra Hindi English | Jainism
Acaranga Sutra English | Jainism
Poetic Edda English Bellows | Norse_Germanic
Tao Te Ching Hindi translation | Taoism_Confucianism
Kalpa Sutra English Jacobi | Jainism
Seven Valleys Bahaullah English | Bahai
Iliad Homer English | Greek_Roman
Jain sacred texts Sacred Books East | Jainism
Homeric Hymns Greek English | Greek_Roman
Pyramid Texts English Faulkner | Egyptian
Mencius English Legge | Taoism_Confucianism
Epic of Gilgamesh English Andrew George | Mesopotamian
Five Classics Confucian English | Taoism_Confucianism
Kojiki Japanese English Chamberlain | Shinto
Coffin Texts English Faulkner | Egyptian
Plato Dialogues English complete | Greek_Roman
Kitab i Iqan Bahaullah English | Bahai
Popol Vuh Mayan English Tedlock | Mesoamerican
Florentine Codex Sahagun English vol 1 | Mesoamerican
Sumerian mythology Kramer English | Mesopotamian
Some Answered Questions Abdulbaha | Bahai
Havamal Old Norse English | Norse_Germanic
Volsunga Saga English | Norse_Germanic
Icelandic Sagas English | Norse_Germanic
Chilam Balam English | Mesoamerican
Theogony Hesiod Greek English | Greek_Roman
The Sacred Pipe English | Indigenous
Odyssey Homer English | Greek_Roman
Ofudesaki Tenrikyo Japanese English | Tenrikyo
Kitab al-Jilwa Yazidi English | Yazidism
Orphic Hymns Greek English | Greek_Roman
Holy Piby Rastafari English | Rastafarianism
Egyptian Book of Dead English Budge | Egyptian
Sacred Books East Muller vol 4 | Comparative
Egyptian Book of Dead English Faulkner | Egyptian
Sacred Books East Muller vol 1 | Comparative
Sacred Books East Muller vol 5 | Comparative
Sacred Books East Muller vol 3 | Comparative
Enuma Elish English translation | Mesopotamian
Sacred Books East Muller vol 8 | Comparative
Sacred Books East Muller vol 9 | Comparative
World religions Huston Smith | Comparative
Sacred Books East Muller vol 6 | Comparative
Nag Hammadi scriptures English | Gnosticism
Corpus Hermetica Greek English | Gnosticism
Pistis Sophia English | Gnosticism
Kybalion Hermetic English | Gnosticism
Ifa corpus Yoruba English | African
African religions Mbiti English | African
Black Elk Speaks English | Indigenous
Golden Bough Frazer vol 1 | Comparative
Masks of God Campbell vol 2 | Comparative
Native American religions English | Indigenous
Ethiopian Orthodox Bible English | Rastafarianism
Kebra Nagast English Budge | Rastafarianism
Secret Doctrine Blavatsky vol 1 | Theosophy
Isis Unveiled Blavatsky vol 1 | Theosophy
Secret Doctrine Blavatsky vol 2 | Theosophy
Steiner How to Know Higher Worlds | Theosophy
Key to Theosophy Blavatsky | Theosophy
Book of Shadows Gardner Wicca | Wicca
Mabinogion Welsh mythology English | Wicca
Sacred Books East Muller vol 2 | Comparative
Celtic Druids texts English | Wicca
Ginza Rba Mandaean English | Mandaeism
Varieties Religious Experience James | Comparative
Mikagura Uta Tenrikyo English | Tenrikyo
Masks of God Campbell vol 3 | Comparative
Masks of God Campbell vol 4 | Comparative
Sacred Books East Muller vol 7 | Comparative
Sacred Books East Muller vol 10 | Comparative
Perennial Philosophy Huxley | Comparative
Hero thousand faces Joseph Campbell | Comparative
History of God Karen Armstrong | Comparative
Golden Bough Frazer vol 2 | Comparative
Masks of God Campbell vol 1 | Comparative
Rigveda Telugu translation | Hinduism
Mahabharata English Ganguli vol 1 | Hinduism
Mahabharata English Ganguli vol 3 | Hinduism
Mahabharata English Ganguli vol 2 | Hinduism
Mahabharata English Ganguli vol 4 | Hinduism
Mahabharata English Ganguli vol 5 | Hinduism
Garuda Purana Hindi English | Hinduism
Skanda Purana Sanskrit English vol 1 | Hinduism
Skanda Purana Sanskrit English vol 2 | Hinduism
Yoga Sutras Patanjali Sanskrit Hindi English | Hinduism
Devi Mahatmya Durga Saptashati Hindi | Hinduism
Harivamsa Sanskrit Hindi English | Hinduism
Rumi Masnavi Hindi Urdu | Islam
Tripitaka Hindi translation | Buddhism
Diamond Sutra Sanskrit English | Buddhism
Milarepa hundred thousand songs English | Buddhism
Tibetan Book of Dead English Fremantle | Buddhism
Bodhicharyavatara Shantideva English | Buddhism
Shobogenzo Dogen English vol 1 | Buddhism
Shobogenzo Dogen English vol 2 | Buddhism
Sukhmani Sahib Punjabi Hindi English | Sikhism
Zohar English Sperling vol 1 | Judaism
Zohar English Sperling vol 2 | Judaism
Zohar English Sperling vol 3 | Judaism
Midrash Rabbah English vol 1 | Judaism
Midrash Rabbah English vol 2 | Judaism
Bundahishn English translation | Zoroastrianism
Tattvartha Sutra Hindi English | Jainism
Jain Agamas English complete | Jainism
Tao Te Ching English Legge | Taoism_Confucianism
Nihon Shoki English translation | Shinto
Norito Shinto prayers English | Shinto
Kitab i Aqdas Bahaullah English | Bahai
Kitab i Iqan Bahaullah English | Bahai
Hidden Words Bahaullah English | Bahai
Seven Valleys Bahaullah English | Bahai
Some Answered Questions Abdulbaha | Bahai
Dawn-Breakers Nabil English | Bahai
Orphic Hymns Greek English | Greek_Roman
Egyptian Book of Dead English Faulkner | Egyptian
Pyramid Texts English Faulkner | Egyptian
Coffin Texts English Faulkner | Egyptian
Florentine Codex Sahagun English vol 1 | Mesoamerican
African religions Mbiti English | African
Holy Piby Rastafari English | Rastafarianism
Kitab al-Jilwa Yazidi English | Yazidism
Ofudesaki Tenrikyo Japanese English | Tenrikyo
Mikagura Uta Tenrikyo English | Tenrikyo
